country;pop2022
DR Congo;99010.2120
France;64626.6280
Canada;38454.3270
Madagascar;29611.7140
Ivory Coast;28160.5420
Cameroon;27914.5360
Niger;26207.9770
Burkina Faso;22673.7620
Mali;22593.5900
Chad;17723.3150
Senegal;17316.4490
Guinea;13859.3410
Rwanda;13776.6980
Benin;13352.8640
Burundi;12889.5760
Belgium;11655.9300
Haiti;11584.9960
Togo;8848.6990
Switzerland;8740.4720
Republic of the Congo;5970.4240
Central African Republic;5579.1440
Gabon;2388.9920
Equatorial Guinea;1674.9080
Djibouti;1120.8490
Comoros;836.7740
Luxembourg;647.5990
Vanuatu;326.7400
Saint Lucia;179.8570
Seychelles;107.1180
Dominica;72.7370
Monaco;36.4690
